0.png	 9-4=?
26103.png	 3-7=?
26104.png	 2+2=?
26105.png	 4+1=?
26106.png	 0+1=?
26107.png	 7+2=?
26108.png	 0-2=?
26109.png	 6+4=?
26110.png	 2-2=?
26111.png	 0x8=?
26112.png	 3x4=?
26113.png	 7+0=?
26114.png	 0x7=?
26115.png	 3-6=?
26116.png	 7+7=?
26117.png	 5x5=?
26118.png	 9-9=?
26119.png	 0-4=?
26120.png	 7-1=?
26121.png	 4+1=?
26122.png	 1-5=?
26123.png	 2-5=?
26124.png	 0-6=?
26125.png	 9x8=?
26126.png	 1+7=?
26127.png	 3x5=?
26128.png	 7-3=?
26129.png	 8+4=?
26130.png	 0x3=?
26131.png	 2-1=?
26132.png	 4x2=?
26133.png	 1-8=?
26134.png	 6+5=?
26135.png	 3-4=?
26136.png	 0-1=?
26137.png	 0+8=?
26138.png	 7+4=?
26139.png	 0-4=?
26140.png	 8x6=?
26141.png	 2+2=?
26142.png	 5+9=?
26143.png	 5+6=?
26144.png	 3+1=?
26145.png	 7-1=?
26146.png	 3+7=?
26147.png	 2x6=?
26148.png	 7+1=?
26149.png	 6x0=?
26150.png	 4+6=?
26151.png	 0x2=?
26152.png	 6x5=?
26153.png	 2x3=?
26154.png	 8-6=?
26155.png	 0-3=?
26156.png	 7-1=?
26157.png	 9x8=?
26158.png	 4x0=?
26159.png	 4+9=?
26160.png	 5+0=?
26161.png	 8-3=?
26162.png	 3-1=?
26163.png	 4-7=?
26164.png	 0+3=?
26165.png	 5x6=?
26166.png	 3x5=?
26167.png	 0+0=?
26168.png	 6x8=?
26169.png	 6x4=?
26170.png	 6+9=?
26171.png	 1-0=?
26172.png	 9x3=?
26173.png	 9+1=?
26174.png	 8-3=?
26175.png	 0+9=?
26176.png	 8x6=?
26177.png	 4x9=?
26178.png	 4x2=?
26179.png	 1-7=?
26180.png	 4+7=?
26181.png	 2-4=?
26182.png	 4-7=?
26183.png	 9x3=?
26184.png	 3-2=?
26185.png	 1+8=?
26186.png	 7-3=?
26187.png	 4+6=?
26188.png	 5-0=?
26189.png	 5+8=?
26190.png	 9+6=?
26191.png	 1-0=?
26192.png	 4x4=?
26193.png	 8x8=?
26194.png	 0+7=?
26195.png	 3x3=?
26196.png	 6x4=?
26197.png	 4+7=?
26198.png	 9x0=?
26199.png	 0x3=?
26200.png	 1x2=?
26201.png	 2-9=?
26202.png	 2+8=?
26203.png	 2+2=?
26204.png	 6-2=?
26205.png	 2+7=?
26206.png	 5+9=?
26207.png	 3+3=?
26208.png	 6+8=?
26209.png	 2x4=?
26210.png	 0+5=?
26211.png	 2+0=?
26212.png	 3+8=?
26213.png	 2-4=?
26214.png	 6+0=?
26215.png	 7x3=?
26216.png	 1+3=?
26217.png	 7-0=?
26218.png	 6x3=?
26219.png	 2+9=?
26220.png	 8-3=?
26221.png	 5+2=?
26222.png	 0+2=?
26223.png	 2x3=?
26224.png	 5-3=?
26225.png	 3+2=?
26226.png	 5-4=?
26227.png	 2-1=?
26228.png	 1-0=?
26229.png	 0-8=?
26230.png	 8-7=?
26231.png	 3x6=?
26232.png	 2x3=?
26233.png	 5+2=?
26234.png	 9-2=?
26235.png	 3x6=?
26236.png	 1x1=?
26237.png	 8+0=?
26238.png	 2-1=?
26239.png	 0+6=?
26240.png	 8+1=?
26241.png	 9x1=?
26242.png	 6+0=?
26243.png	 9x7=?
26244.png	 3x4=?
26245.png	 7+8=?
26246.png	 0-3=?
26247.png	 8x7=?
26248.png	 5x1=?
26249.png	 1x1=?
26250.png	 7+1=?
26251.png	 6+6=?
26252.png	 4-0=?
26253.png	 4x1=?
26254.png	 3+3=?
26255.png	 4x2=?
26256.png	 6x0=?
26257.png	 4x2=?
26258.png	 2+9=?
26259.png	 1x6=?
26260.png	 8-3=?
26261.png	 6x1=?
26262.png	 0+6=?
26263.png	 2-1=?
26264.png	 7x5=?
26265.png	 7-5=?
26266.png	 7+7=?
26267.png	 2x7=?
26268.png	 1+4=?
26269.png	 5x8=?
26270.png	 2+8=?
26271.png	 1+6=?
26272.png	 9-7=?
26273.png	 6x5=?
26274.png	 3-1=?
26275.png	 0x9=?
26276.png	 7x5=?
26277.png	 8+6=?
26278.png	 1-8=?
26279.png	 9+6=?
26280.png	 3+3=?
26281.png	 2x0=?
26282.png	 3-1=?
26283.png	 9x6=?
26284.png	 1-7=?
26285.png	 5x2=?
26286.png	 8x0=?
26287.png	 1-6=?
26288.png	 6+5=?
26289.png	 5+3=?
26290.png	 1x5=?
26291.png	 6-8=?
26292.png	 5-8=?
26293.png	 4+6=?
26294.png	 8-8=?
26295.png	 4-5=?
26296.png	 0x0=?
26297.png	 0-1=?
26298.png	 3x7=?
26299.png	 1+0=?
26300.png	 7x8=?
26301.png	 8+2=?
26302.png	 7x4=?
26303.png	 3-0=?
26304.png	 8-9=?
26305.png	 9-5=?
26306.png	 9-3=?
26307.png	 9+3=?
26308.png	 3-8=?
26309.png	 9x3=?
26310.png	 8+1=?
26311.png	 2x3=?
26312.png	 3+0=?
26313.png	 8+4=?
26314.png	 4-6=?
26315.png	 0x5=?
26316.png	 5+5=?
26317.png	 8+7=?
26318.png	 8x4=?
26319.png	 4x9=?
26320.png	 7+9=?
26321.png	 4+4=?
26322.png	 4x9=?
26323.png	 5+3=?
26324.png	 4+5=?
26325.png	 7x0=?
26326.png	 9+7=?
26327.png	 5+3=?
26328.png	 3+5=?
26329.png	 9x1=?
26330.png	 9-5=?
26331.png	 6-1=?
26332.png	 5+3=?
26333.png	 2-0=?
26334.png	 3-6=?
26335.png	 3+3=?
26336.png	 7x4=?
26337.png	 0x8=?
26338.png	 5-9=?
26339.png	 8x6=?
26340.png	 3-8=?
26341.png	 4-1=?
26342.png	 8+9=?
26343.png	 1-5=?
26344.png	 9x2=?
26345.png	 3+6=?
26346.png	 7+7=?
26347.png	 6x8=?
26348.png	 2+1=?
26349.png	 2x8=?
26350.png	 7x9=?
26351.png	 6x9=?
26352.png	 2+5=?
26353.png	 2-8=?
26354.png	 8x6=?
26355.png	 3+0=?
26356.png	 9x2=?
26357.png	 3+0=?
26358.png	 7-5=?
26359.png	 6+0=?
26360.png	 2-2=?
26361.png	 3+3=?
26362.png	 5+1=?
26363.png	 8x9=?
26364.png	 7x3=?
26365.png	 2-2=?
26366.png	 0-7=?
26367.png	 2x0=?
26368.png	 4-8=?
26369.png	 1x6=?
26370.png	 7-5=?
26371.png	 8+9=?
26372.png	 0x5=?
26373.png	 1+3=?
26374.png	 2-9=?
26375.png	 9x5=?
26376.png	 3+9=?
26377.png	 3-1=?
26378.png	 3x9=?
26379.png	 7-0=?
26380.png	 9+4=?
26381.png	 8x5=?
26382.png	 5+4=?
26383.png	 4x7=?
26384.png	 3-0=?
26385.png	 4-4=?
26386.png	 9x3=?
26387.png	 1x5=?
26388.png	 1-7=?
26389.png	 3+4=?
26390.png	 6-5=?
26391.png	 3+6=?
26392.png	 2x9=?
26393.png	 1+4=?
26394.png	 3x6=?
26395.png	 6x2=?
26396.png	 5x9=?
26397.png	 0x6=?
26398.png	 7x6=?
26399.png	 0+2=?
26400.png	 7+5=?
26401.png	 0-9=?
26402.png	 4+6=?
26403.png	 6-2=?
26404.png	 4+3=?
26405.png	 7+9=?
26406.png	 4+7=?
26407.png	 8x5=?
26408.png	 9x1=?
26409.png	 4x7=?
26410.png	 1x4=?
26411.png	 4+4=?
26412.png	 0+5=?
26413.png	 7-7=?
26414.png	 7-0=?
26415.png	 4x4=?
26416.png	 8-9=?
26417.png	 3-2=?
26418.png	 9-8=?
26419.png	 9-4=?
26420.png	 9-9=?
26421.png	 0-0=?
26422.png	 2-1=?
26423.png	 7-6=?
26424.png	 2+9=?
26425.png	 2+3=?
26426.png	 3-4=?
26427.png	 9+5=?
26428.png	 4x6=?
26429.png	 2x1=?
26430.png	 8x9=?
26431.png	 5+1=?
26432.png	 2+9=?
26433.png	 3+4=?
26434.png	 5x5=?
26435.png	 6+0=?
26436.png	 2x6=?
26437.png	 1+7=?
26438.png	 5x8=?
26439.png	 4+4=?
26440.png	 7-2=?
26441.png	 5x5=?
26442.png	 2-3=?
26443.png	 7+2=?
26444.png	 4x2=?
26445.png	 0-5=?
26446.png	 2x0=?
26447.png	 9+0=?
26448.png	 7x0=?
26449.png	 7x3=?
26450.png	 4-9=?
26451.png	 2-3=?
26452.png	 8x2=?
26453.png	 8x4=?
26454.png	 0+6=?
26455.png	 8-9=?
26456.png	 2+5=?
26457.png	 9-5=?
26458.png	 4+4=?
26459.png	 8-1=?
26460.png	 0+4=?
26461.png	 4x4=?
26462.png	 5-2=?
26463.png	 4+2=?
26464.png	 8-8=?
26465.png	 8+4=?
26466.png	 2-0=?
26467.png	 7-5=?
26468.png	 9x7=?
26469.png	 6+5=?
26470.png	 2-4=?
26471.png	 6-1=?
26472.png	 4+2=?
26473.png	 5-3=?
26474.png	 7+2=?
26475.png	 1x5=?
26476.png	 9x7=?
26477.png	 7+5=?
26478.png	 8+3=?
26479.png	 8x7=?
26480.png	 2+0=?
26481.png	 8-9=?
26482.png	 0+1=?
26483.png	 9+1=?
26484.png	 7-1=?
26485.png	 7-5=?
26486.png	 7+3=?
26487.png	 3+7=?
26488.png	 6+6=?
26489.png	 3x2=?
26490.png	 2+1=?
26491.png	 3+9=?
26492.png	 9+7=?
26493.png	 7+0=?
26494.png	 9x8=?
26495.png	 5-3=?
26496.png	 2+6=?
26497.png	 7+7=?
26498.png	 4x0=?
26499.png	 9+9=?
26500.png	 7-4=?
26501.png	 8-4=?
26502.png	 3-0=?
26503.png	 5+8=?
26504.png	 0+4=?
26505.png	 7-5=?
26506.png	 9+6=?
26507.png	 8-7=?
26508.png	 0+7=?
26509.png	 8-6=?
26510.png	 8-7=?
26511.png	 4+9=?
26512.png	 7x2=?
26513.png	 7+4=?
26514.png	 2+3=?
26515.png	 9-8=?
26516.png	 2x0=?
26517.png	 8-2=?
26518.png	 4+8=?
26519.png	 6-8=?
26520.png	 2x6=?
26521.png	 6+1=?
26522.png	 5+3=?
26523.png	 6+5=?
26524.png	 6x4=?
26525.png	 7x0=?
26526.png	 8+5=?
26527.png	 5x2=?
26528.png	 0+9=?
26529.png	 3x8=?
26530.png	 7+2=?
26531.png	 2-9=?
26532.png	 6-8=?
26533.png	 9x8=?
26534.png	 1x7=?
26535.png	 7+2=?
26536.png	 3-2=?
26537.png	 3-1=?
26538.png	 9+5=?
26539.png	 2x6=?
26540.png	 4-2=?
26541.png	 8+5=?
26542.png	 7-1=?
26543.png	 2-5=?
26544.png	 3x9=?
26545.png	 9-6=?
26546.png	 3+8=?
26547.png	 2+7=?
26548.png	 7-9=?
26549.png	 9+9=?
26550.png	 4x7=?
26551.png	 5+5=?
26552.png	 3x4=?
26553.png	 4-2=?
26554.png	 3+6=?
26555.png	 5-0=?
26556.png	 7x3=?
26557.png	 2-8=?
26558.png	 0+6=?
26559.png	 8x9=?
26560.png	 2-1=?
26561.png	 0+8=?
26562.png	 0+1=?
26563.png	 6x2=?
26564.png	 8x7=?
26565.png	 1-2=?
26566.png	 7+6=?
26567.png	 5-6=?
26568.png	 8-7=?
26569.png	 2+4=?
26570.png	 0-0=?
26571.png	 6x0=?
26572.png	 1x9=?
26573.png	 5-8=?
26574.png	 8-0=?
26575.png	 7x3=?
26576.png	 4x6=?
26577.png	 7-0=?
26578.png	 1x5=?
26579.png	 9-5=?
26580.png	 1+8=?
26581.png	 9x4=?
26582.png	 7+8=?
26583.png	 7x7=?
26584.png	 4+3=?
26585.png	 0-3=?
26586.png	 6-3=?
26587.png	 7-1=?
26588.png	 1x3=?
26589.png	 8+1=?
26590.png	 7-1=?
26591.png	 8x8=?
26592.png	 3-4=?
26593.png	 8-2=?
26594.png	 6+3=?
26595.png	 8-4=?
26596.png	 5+8=?
26597.png	 8x2=?
26598.png	 6+3=?
26599.png	 1+2=?
26600.png	 0-1=?
26601.png	 7x6=?
26602.png	 4-0=?
26603.png	 5+1=?
26604.png	 2+3=?
26605.png	 6+2=?
26606.png	 8x8=?
26607.png	 3x4=?
26608.png	 2-4=?
26609.png	 1-8=?
26610.png	 1x2=?
26611.png	 4+7=?
26612.png	 3x1=?
26613.png	 6-9=?
26614.png	 2+9=?
26615.png	 5x9=?
26616.png	 0-8=?
26617.png	 1x9=?
26618.png	 6-3=?
26619.png	 8+9=?
26620.png	 2x9=?
26621.png	 0x7=?
26622.png	 3x1=?
26623.png	 6-9=?
26624.png	 4+6=?
26625.png	 0+9=?
26626.png	 4x9=?
26627.png	 1x6=?
26628.png	 0x3=?
26629.png	 3-2=?
26630.png	 3x0=?
26631.png	 2x1=?
26632.png	 7x7=?
26633.png	 2-6=?
26634.png	 8-7=?
26635.png	 9-2=?
26636.png	 0+5=?
26637.png	 5+3=?
26638.png	 2-5=?
26639.png	 9+9=?
26640.png	 2-5=?
26641.png	 4+1=?
26642.png	 7+3=?
26643.png	 7-0=?
26644.png	 9x6=?
26645.png	 6x0=?
26646.png	 4x0=?
26647.png	 6+5=?
26648.png	 5-4=?
26649.png	 6x3=?
26650.png	 4-2=?
26651.png	 8+6=?
26652.png	 1x2=?
26653.png	 5x6=?
26654.png	 5-1=?
26655.png	 1-0=?
26656.png	 3+1=?
26657.png	 6-0=?
26658.png	 6x5=?
26659.png	 1x8=?
26660.png	 5-9=?
26661.png	 2+0=?
26662.png	 0x5=?
26663.png	 4-8=?
26664.png	 0+2=?
26665.png	 8+2=?
26666.png	 5+2=?
26667.png	 4-9=?
26668.png	 6-2=?
26669.png	 4+1=?
26670.png	 6+3=?
26671.png	 2x6=?
26672.png	 8+4=?
26673.png	 1-3=?
26674.png	 2x8=?
26675.png	 7+1=?
26676.png	 0-3=?
26677.png	 3+3=?
26678.png	 3-7=?
26679.png	 4x3=?
26680.png	 2+5=?
26681.png	 7-8=?
26682.png	 2x4=?
26683.png	 8-1=?
26684.png	 4x3=?
26685.png	 9+4=?
26686.png	 5-5=?
26687.png	 2-7=?
26688.png	 0-0=?
26689.png	 3-0=?
26690.png	 9+9=?
26691.png	 3x9=?
26692.png	 0+5=?
26693.png	 7x0=?
26694.png	 0x9=?
26695.png	 1x4=?
26696.png	 4-6=?
26697.png	 9x9=?
26698.png	 3+9=?
26699.png	 1+8=?
26700.png	 8-7=?
26701.png	 9-2=?
26702.png	 4-2=?
26703.png	 0+9=?
26704.png	 1+5=?
26705.png	 1x2=?
26706.png	 0+3=?
26707.png	 3-1=?
26708.png	 9x4=?
26709.png	 1x1=?
26710.png	 8x9=?
26711.png	 2x4=?
26712.png	 4x1=?
26713.png	 8+8=?
26714.png	 9+6=?
26715.png	 1+9=?
26716.png	 3-9=?
26717.png	 5-6=?
26718.png	 8+2=?
26719.png	 1-5=?
26720.png	 8x9=?
26721.png	 3+0=?
26722.png	 4+8=?
26723.png	 1-6=?
26724.png	 4-9=?
26725.png	 2-1=?
26726.png	 5x1=?
26727.png	 8-8=?
26728.png	 9+3=?
26729.png	 6x4=?
26730.png	 6+0=?
26731.png	 9+4=?
26732.png	 2+0=?
26733.png	 2x2=?
26734.png	 9+9=?
26735.png	 8x9=?
26736.png	 7x0=?
26737.png	 5x7=?
26738.png	 4+8=?
26739.png	 2-6=?
26740.png	 9+1=?
26741.png	 4+2=?
26742.png	 1+6=?
26743.png	 5+1=?
26744.png	 3+2=?
26745.png	 9+8=?
26746.png	 5x3=?
26747.png	 4+7=?
26748.png	 3x1=?
26749.png	 8+9=?
26750.png	 4+9=?
26751.png	 0+4=?
26752.png	 0+7=?
26753.png	 6+8=?
26754.png	 9-3=?
26755.png	 8+1=?
26756.png	 1-3=?
26757.png	 7x2=?
26758.png	 0x7=?
26759.png	 2-8=?
26760.png	 6x3=?
26761.png	 9-5=?
26762.png	 9-9=?
26763.png	 4-6=?
26764.png	 4+3=?
26765.png	 2+7=?
26766.png	 5x3=?
26767.png	 9x9=?
26768.png	 3-9=?
26769.png	 6x0=?
26770.png	 4-1=?
26771.png	 8x5=?
26772.png	 4x4=?
26773.png	 4x0=?
26774.png	 9+9=?
26775.png	 7-2=?
26776.png	 7-3=?
26777.png	 0-0=?
26778.png	 1-8=?
26779.png	 8-4=?
26780.png	 8x7=?
26781.png	 7+2=?
26782.png	 3+8=?
26783.png	 8-4=?
26784.png	 9+2=?
26785.png	 5-1=?
26786.png	 4+3=?
26787.png	 6x4=?
26788.png	 3x4=?
26789.png	 1x0=?
26790.png	 7+6=?
26791.png	 6-3=?
26792.png	 8-4=?
26793.png	 4-8=?
26794.png	 3x4=?
26795.png	 1-2=?
26796.png	 6+2=?
26797.png	 5x3=?
26798.png	 3-7=?
26799.png	 0x9=?
26800.png	 3x7=?
26801.png	 3x5=?
26802.png	 4+6=?
26803.png	 2-1=?
26804.png	 4+3=?
26805.png	 9+4=?
26806.png	 3x9=?
26807.png	 3-1=?
26808.png	 5+6=?
26809.png	 4x8=?
26810.png	 1+0=?
26811.png	 3-1=?
26812.png	 7+5=?
26813.png	 3-4=?
26814.png	 0+7=?
26815.png	 1-9=?
26816.png	 8x5=?
26817.png	 4-8=?
26818.png	 0x1=?
26819.png	 1x2=?
26820.png	 1+5=?
26821.png	 6+6=?
26822.png	 7-7=?
26823.png	 3+0=?
26824.png	 8-8=?
26825.png	 1+4=?
26826.png	 2-3=?
26827.png	 3-5=?
26828.png	 7-8=?
26829.png	 5x0=?
26830.png	 8x1=?
26831.png	 2x3=?
26832.png	 8x9=?
26833.png	 8+8=?
26834.png	 8x4=?
26835.png	 1+4=?
26836.png	 2x6=?
26837.png	 4x3=?
26838.png	 6+9=?
26839.png	 4+9=?
26840.png	 2+7=?
26841.png	 2-9=?
26842.png	 9x0=?
26843.png	 4-7=?
26844.png	 1+6=?
26845.png	 2+6=?
26846.png	 7-5=?
26847.png	 3-2=?
26848.png	 4x4=?
26849.png	 2-9=?
26850.png	 1-0=?
26851.png	 9x8=?
26852.png	 3-1=?
26853.png	 6x5=?
26854.png	 1x5=?
26855.png	 7+2=?
26856.png	 6x5=?
26857.png	 7x3=?
26858.png	 7+3=?
26859.png	 4-5=?
26860.png	 4x9=?
26861.png	 6-4=?
26862.png	 9x7=?
26863.png	 6+8=?
26864.png	 9-6=?
26865.png	 5x3=?
26866.png	 2+5=?
26867.png	 4x8=?
26868.png	 8-3=?
26869.png	 4+3=?
26870.png	 5+8=?
26871.png	 9+9=?
26872.png	 8x1=?
26873.png	 3-3=?
26874.png	 5x7=?
26875.png	 3+6=?
26876.png	 2+1=?
26877.png	 8+7=?
26878.png	 5-6=?
26879.png	 6x9=?
26880.png	 4x6=?
26881.png	 1x2=?
26882.png	 9x9=?
26883.png	 5x4=?
26884.png	 4+8=?
26885.png	 3x4=?
26886.png	 6+5=?
26887.png	 3x7=?
26888.png	 7x9=?
26889.png	 3-5=?
26890.png	 6+1=?
26891.png	 4-0=?
26892.png	 6x4=?
26893.png	 8-9=?
26894.png	 5-4=?
26895.png	 0+2=?
26896.png	 9+5=?
26897.png	 2+4=?
26898.png	 3-9=?
26899.png	 7x5=?
26900.png	 7+0=?
26901.png	 1x3=?
26902.png	 1-1=?
26903.png	 3x8=?
26904.png	 6x2=?
26905.png	 4-9=?
26906.png	 5x2=?
26907.png	 8+0=?
26908.png	 3x7=?
26909.png	 6+6=?
26910.png	 9-0=?
26911.png	 8-3=?
26912.png	 8+7=?
26913.png	 9x4=?
26914.png	 9x4=?
26915.png	 9x8=?
26916.png	 4x7=?
26917.png	 7+3=?
26918.png	 0+7=?
26919.png	 6x5=?
26920.png	 7+4=?
26921.png	 9x3=?
26922.png	 5x5=?
26923.png	 3x8=?
26924.png	 9x1=?
26925.png	 4+3=?
26926.png	 3-1=?
26927.png	 5x2=?
26928.png	 5x9=?
26929.png	 2x1=?
26930.png	 2+5=?
26931.png	 2x8=?
26932.png	 5-7=?
26933.png	 5x8=?
26934.png	 2-1=?
26935.png	 2+2=?
26936.png	 5-2=?
26937.png	 1-4=?
26938.png	 7x3=?
26939.png	 5-9=?
26940.png	 0+7=?
26941.png	 6+4=?
26942.png	 3+7=?
26943.png	 6+3=?
26944.png	 8+1=?
26945.png	 0x1=?
26946.png	 4-3=?
26947.png	 2+5=?
26948.png	 1-7=?
26949.png	 8x6=?
26950.png	 8x5=?
26951.png	 2-3=?
26952.png	 9x2=?
26953.png	 0-3=?
26954.png	 3+2=?
26955.png	 0+6=?
26956.png	 8+7=?
26957.png	 0-9=?
26958.png	 5+2=?
26959.png	 1+5=?
26960.png	 1+1=?
26961.png	 3-0=?
26962.png	 1+1=?
26963.png	 6x3=?
26964.png	 6-2=?
26965.png	 5+5=?
26966.png	 4+9=?
26967.png	 3x1=?
26968.png	 0+3=?
26969.png	 6-3=?
26970.png	 3x8=?
26971.png	 3-7=?
26972.png	 7+1=?
26973.png	 9-7=?
26974.png	 1-1=?
26975.png	 9+9=?
26976.png	 3-2=?
26977.png	 9+2=?
26978.png	 6x4=?
26979.png	 6-3=?
26980.png	 0-8=?
26981.png	 8x0=?
26982.png	 5x4=?
26983.png	 6-4=?
26984.png	 6x6=?
26985.png	 8-3=?
26986.png	 9+4=?
26987.png	 7x9=?
26988.png	 2x9=?
26989.png	 2+5=?
26990.png	 4+7=?
26991.png	 6x3=?
26992.png	 3x0=?
26993.png	 3+9=?
26994.png	 9x4=?
26995.png	 8x6=?
26996.png	 9x7=?
26997.png	 7x7=?
26998.png	 1+6=?
26999.png	 0x7=?
27000.png	 4-8=?
27001.png	 1x3=?
27002.png	 1+4=?
27003.png	 4x3=?
27004.png	 9x9=?
27005.png	 1-4=?
27006.png	 5+8=?
27007.png	 9+4=?
27008.png	 1-0=?
27009.png	 6-4=?
27010.png	 0-7=?
27011.png	 0-0=?
27012.png	 4-2=?
27013.png	 0x8=?
27014.png	 0x7=?
27015.png	 1-3=?
27016.png	 1x6=?
27017.png	 3-8=?
27018.png	 5-7=?
27019.png	 3+4=?
27020.png	 3x5=?
27021.png	 3+4=?
27022.png	 6x8=?
27023.png	 3x7=?
27024.png	 2-2=?
27025.png	 6x3=?
27026.png	 1x7=?
27027.png	 8+0=?
27028.png	 2x2=?
27029.png	 4-5=?
27030.png	 5+6=?
27031.png	 2-2=?
27032.png	 3+2=?
27033.png	 7x0=?
27034.png	 0-3=?
27035.png	 1x7=?
27036.png	 2-5=?
27037.png	 5+4=?
27038.png	 4+3=?
27039.png	 9x7=?
27040.png	 7+9=?
27041.png	 7-6=?
27042.png	 4+5=?
27043.png	 8+0=?
27044.png	 8-5=?
27045.png	 6-9=?
27046.png	 8-2=?
27047.png	 7+4=?
27048.png	 8+3=?
27049.png	 0x1=?
27050.png	 9-7=?
27051.png	 0x2=?
27052.png	 3x8=?
27053.png	 1-6=?
27054.png	 1-4=?
27055.png	 8x7=?
27056.png	 4-4=?
27057.png	 6x1=?
27058.png	 1+5=?
27059.png	 2x2=?
27060.png	 5-5=?
27061.png	 3x4=?
27062.png	 6-0=?
27063.png	 5-6=?
27064.png	 0-2=?
27065.png	 2-3=?
27066.png	 6+2=?
27067.png	 7x8=?
27068.png	 8x3=?
27069.png	 9-3=?
27070.png	 5-2=?
27071.png	 1-5=?
27072.png	 0+3=?
27073.png	 2+3=?
27074.png	 2-9=?
27075.png	 5-7=?
27076.png	 3-5=?
27077.png	 5+0=?
27078.png	 4+3=?
27079.png	 4-1=?
27080.png	 3-7=?
27081.png	 1+7=?
27082.png	 5+0=?
27083.png	 5x7=?
27084.png	 1-8=?
27085.png	 2x6=?
27086.png	 1+0=?
27087.png	 8x9=?
27088.png	 4+1=?
27089.png	 8-9=?
27090.png	 7+3=?
27091.png	 9x0=?
27092.png	 8-8=?
27093.png	 6x7=?
27094.png	 4x6=?
27095.png	 1-4=?
27096.png	 5-4=?
27097.png	 8x7=?
27098.png	 1x0=?
27099.png	 4x3=?
27100.png	 1+7=?
27101.png	 6+2=?
27102.png	 5-6=?
27103.png	 4+9=?
27104.png	 1x3=?
27105.png	 8-8=?
27106.png	 1x9=?
27107.png	 2-7=?
27108.png	 4-3=?
27109.png	 7-2=?
27110.png	 3+5=?
27111.png	 7x5=?
27112.png	 3x1=?
27113.png	 9+2=?
27114.png	 6x6=?
27115.png	 2-7=?
27116.png	 1-4=?
27117.png	 1x4=?
27118.png	 1x5=?
27119.png	 4x8=?
27120.png	 7-2=?
27121.png	 5-4=?
27122.png	 9-0=?
27123.png	 8x3=?
27124.png	 7-9=?
27125.png	 9-3=?
27126.png	 2x1=?
27127.png	 9+4=?
27128.png	 3-4=?
27129.png	 7x2=?
27130.png	 9+0=?
27131.png	 1+7=?
27132.png	 4x3=?
27133.png	 2x4=?
27134.png	 0+8=?
27135.png	 7-9=?
27136.png	 5+1=?
27137.png	 6+1=?
27138.png	 0x0=?
27139.png	 5-2=?
27140.png	 2x3=?
27141.png	 0-1=?
27142.png	 3-1=?
27143.png	 3+2=?
27144.png	 3-8=?
27145.png	 9x2=?
27146.png	 3-7=?
27147.png	 2x5=?
27148.png	 1+6=?
27149.png	 5+2=?
27150.png	 3x8=?
27151.png	 3x0=?
27152.png	 3+8=?
27153.png	 2-6=?
27154.png	 2+9=?
27155.png	 0-2=?
27156.png	 5x4=?
27157.png	 5+5=?
27158.png	 0-3=?
27159.png	 2x1=?
27160.png	 2+6=?
27161.png	 2+4=?
27162.png	 1+3=?
27163.png	 3-9=?
27164.png	 6+5=?
27165.png	 6+5=?
27166.png	 8-6=?
27167.png	 9x2=?
27168.png	 9+8=?
27169.png	 6+1=?
27170.png	 3x4=?
27171.png	 2x9=?
27172.png	 1x7=?
27173.png	 3+2=?
27174.png	 3x0=?
27175.png	 1x1=?
27176.png	 3-6=?
27177.png	 5-2=?
27178.png	 2+0=?
27179.png	 8x1=?
27180.png	 8-1=?
27181.png	 4-8=?
27182.png	 7+1=?
27183.png	 7x8=?
27184.png	 7x7=?
27185.png	 3x1=?
27186.png	 4-7=?
27187.png	 3+3=?
27188.png	 8+7=?
27189.png	 0-3=?
27190.png	 2x0=?
27191.png	 7+7=?
27192.png	 7-8=?
27193.png	 2-5=?
27194.png	 6-0=?
27195.png	 0x2=?
27196.png	 2x0=?
27197.png	 2-3=?
27198.png	 0-1=?
27199.png	 6x7=?
27200.png	 2-2=?
27201.png	 1+4=?
27202.png	 7x0=?
27203.png	 6+4=?
27204.png	 7-5=?
27205.png	 5-2=?
27206.png	 4x8=?
27207.png	 9+5=?
27208.png	 6-2=?
27209.png	 9+4=?
27210.png	 2-9=?
27211.png	 1-9=?
27212.png	 6-1=?
27213.png	 7x5=?
27214.png	 6x6=?
27215.png	 2-9=?
27216.png	 3x8=?
27217.png	 2+9=?
27218.png	 3+5=?
27219.png	 2+5=?
27220.png	 0+9=?
27221.png	 3x8=?
27222.png	 4-8=?
27223.png	 4x9=?
27224.png	 8-5=?
27225.png	 7+0=?
27226.png	 6-0=?
27227.png	 6-9=?
27228.png	 7-1=?
27229.png	 2+4=?
27230.png	 1+1=?
27231.png	 0+4=?
27232.png	 4-6=?
27233.png	 9x0=?
27234.png	 9-7=?
27235.png	 7-5=?
27236.png	 4x4=?
27237.png	 7-9=?
27238.png	 2-0=?
27239.png	 9x4=?
27240.png	 5+2=?
27241.png	 8-1=?
27242.png	 6-9=?
27243.png	 0+3=?
27244.png	 8+5=?
27245.png	 7-8=?
27246.png	 0+7=?
27247.png	 6+0=?
27248.png	 9+7=?
27249.png	 1x0=?
27250.png	 6x3=?
27251.png	 2-1=?
27252.png	 2x7=?
27253.png	 2-5=?
27254.png	 4+2=?
27255.png	 3-0=?
27256.png	 8-4=?
27257.png	 9x7=?
27258.png	 1x2=?
27259.png	 9x7=?
27260.png	 3+1=?
27261.png	 7x3=?
27262.png	 2+9=?
27263.png	 5-0=?
27264.png	 1+5=?
27265.png	 2x1=?
27266.png	 0+9=?
27267.png	 4-1=?
